NAME OF COMPANY, DATE OF LISTING,SYMBOL, SERIES, ISIN NUMBER, PAID UP VALUE, MARKET LOT, FACE VALUE
Alkem Laboratories Limited,23-Dec-15,ALKEM,EQ,INE540L01014,2,1,2
Alkyl Amines Chemicals Limited,26-Nov-07,ALKYLAMINE,EQ,INE150B01021,5,1,5
Allcargo Logistics Limited,23-Jun-06,ALLCARGO,EQ,INE418H01029,2,1,2
Allsec Technologies Limited,9-May-05,ALLSEC,EQ,INE835G01018,10,1,10
Almondz Global Securities Limited,16-Jun-08,ALMONDZ,BE,INE326B01027,6,1,6
Alok Industries Limited,10-Apr-96,ALOKTEXT,BE,INE270A01011,10,1,10
Alpa Laboratories Limited,6-Aug-07,ALPA,EQ,INE385I01010,10,1,10
Alphageo (India) Limited,11-May-07,ALPHAGEO,EQ,INE137C01018,10,1,10
Alps Industries Limited,24-Apr-96,ALPSINDUS,BE,INE093B01015,10,1,10
Amara Raja Batteries Limited,5-Sep-03,AMARAJABAT,EQ,INE885A01032,1,1,1
Amber Enterprises India Limited,30-Jan-18,AMBER,EQ,INE371P01015,10,1,10
Ambika Cotton Mills Limited,29-Jan-08,AMBIKCO,EQ,INE540G01014,10,1,10
Ambuja Cements Limited,18-Feb-98,AMBUJACEM,EQ,INE079A01024,2,1,2
AMD Industries Limited,19-Mar-07,AMDIND,EQ,INE005I01014,10,1,10
Amj Land Holdings Limited,8-Feb-95,AMJLAND,EQ,INE606A01024,2,1,2
Amrutanjan Health Care Limited,2-Jan-15,AMRUTANJAN,EQ,INE098F01031,1,1,1
Anant Raj Limited,27-Sep-06,ANANTRAJ,EQ,INE242C01024,2,1,2
Andhra Bank,4-Apr-01,ANDHRABANK,EQ,INE434A01013,10,1,10
Andhra Cements Limited,8-Nov-10,ANDHRACEMT,EQ,INE666E01012,10,1,10
The Andhra Sugars Limited,1-Nov-95,ANDHRSUGAR,EQ,INE715B01013,10,1,10
ANG Industries Limited,12-Feb-07,ANGIND,BE,INE017D01010,10,1,10
Anik Industries Limited,21-May-08,ANIKINDS,EQ,INE087B01017,10,1,10
Ankit Metal & Power Limited,14-Mar-13,ANKITMETAL,BE,INE106I01010,10,1,10
Ansal Properties & Infrastructure Limited,27-Jan-06,ANSALAPI,EQ,INE436A01026,5,1,5
Ansal Housing and Construction Limited,6-Oct-06,ANSALHSG,EQ,INE880B01015,10,1,10
Antarctica Limited,31-Dec-97,ANTGRAPHIC,BE,INE414B01021,1,1,1
Apar Industries Limited,12-Jul-04,APARINDS,EQ,INE372A01015,10,1,10
Anjani Portland Cement Limited,10-Apr-17,APCL,EQ,INE071F01012,10,1,10
Apcotex Industries Limited,6-Sep-95,APCOTEXIND,EQ,INE116A01024,5,1,5
Apex Frozen Foods Limited,4-Sep-17,APEX,EQ,INE346W01013,10,1,10
APL Apollo Tubes Limited,14-Dec-11,APLAPOLLO,EQ,INE702C01019,10,1,10
Alembic Pharmaceuticals Limited,20-Sep-11,APLLTD,EQ,INE901L01018,2,1,2
Apollo Micro Systems Limited,22-Jan-18,APOLLO,EQ,INE713T01010,10,1,10
Apollo Hospitals Enterprise Limited,10-Jan-96,APOLLOHOSP,EQ,INE437A01024,5,1,5
Apollo Tyres Limited,31-May-95,APOLLOTYRE,EQ,INE438A01022,1,1,1
Apollo Sindoori Hotels Limited,28-Jan-15,APOLSINHOT,EQ,INE451F01016,10,1,10
Aptech Limited,27-Sep-02,APTECHT,EQ,INE266F01018,10,1,10
Archidply Industries Limited,4-Jul-08,ARCHIDPLY,EQ,INE877I01016,10,1,10
Archies Limited,2-Sep-98,ARCHIES,EQ,INE731A01020,2,1,2
Arcotech Limited,16-Apr-14,ARCOTECH,BE,INE574I01035,2,1,2
Rajdarshan Industries Limited,18-Oct-95,ARENTERP,EQ,INE610C01014,10,100,10
Aries Agro Limited,11-Jan-08,ARIES,EQ,INE298I01015,10,1,10
Arihant Foundations & Housing Limited,26-Dec-06,ARIHANT,EQ,INE413D01011,10,1,10
Arihant Superstructures Limited,28-Mar-17,ARIHANTSUP,EQ,INE643K01018,10,1,10
Arman Financial Services Limited,14-Jun-16,ARMANFIN,EQ,INE109C01017,10,1,10
Aro Granite Industries Limited,24-Apr-07,AROGRANITE,EQ,INE210C01013,10,1,10
Arrow Greentech Limited,21-May-15,ARROWGREEN,EQ,INE570D01018,10,1,10
Arrow Textiles Limited,11-May-09,ARROWTEX,EQ,INE933J01015,10,1,10
Arshiya Limited,14-Dec-09,ARSHIYA,EQ,INE968D01022,2,1,2
ARSS Infrastructure Projects Limited,3-Mar-10,ARSSINFRA,EQ,INE267I01010,10,1,10
Arvind Limited,8-Feb-95,ARVIND,EQ,INE034A01011,10,1,10
Arvind SmartSpaces Limited,26-Aug-15,ARVSMART,EQ,INE034S01021,10,1,10
Asahi India Glass Limited,18-Mar-98,ASAHIINDIA,EQ,INE439A01020,1,1,1
Asahi Songwon Colors Limited,29-Aug-11,ASAHISONG,EQ,INE228I01012,10,1,10
Automotive Stampings and Assemblies Limited,12-Mar-02,ASAL,EQ,INE900C01027,10,1,10
Ashapura Minechem Limited,20-Sep-95,ASHAPURMIN,EQ,INE348A01023,2,1,2
Ashiana Housing Limited,29-Jun-11,ASHIANA,EQ,INE365D01021,2,1,2
Ashima Limited,27-Jul-95,ASHIMASYN,EQ,INE440A01010,10,1,10
Ashoka Buildcon Limited,14-Oct-10,ASHOKA,EQ,INE442H01029,5,1,5
Ashok Leyland Limited,25-May-95,ASHOKLEY,EQ,INE208A01029,1,1,1
Asian Hotels (North) Limited,7-Apr-10,ASIANHOTNR,EQ,INE363A01022,10,1,10
Asian Paints Limited,31-May-95,ASIANPAINT,EQ,INE021A01026,1,1,1
Asian Granito India Limited,23-Aug-07,ASIANTILES,EQ,INE022I01019,10,1,10
Aspinwall and Company Limited,14-Jun-16,ASPINWALL,EQ,INE991I01015,10,1,10
Assam Company India Limited,29-Sep-06,ASSAMCO,BE,INE442A01024,1,1,1
Astec LifeSciences Limited,25-Nov-09,ASTEC,EQ,INE563J01010,10,1,10
Aster DM Healthcare Limited,26-Feb-18,ASTERDM,EQ,INE914M01019,10,1,10
Astral Poly Technik Limited,20-Mar-07,ASTRAL,EQ,INE006I01046,1,1,1
Astra Microwave Products Limited,1-Nov-04,ASTRAMICRO,EQ,INE386C01029,2,1,2
AstraZeneca Pharma India Limited,4-May-01,ASTRAZEN,EQ,INE203A01020,2,1,2
Astron Paper & Board Mill Limited,29-Dec-17,ASTRON,EQ,INE646X01014,10,1,10
Agro Tech Foods Limited,6-Dec-02,ATFL,EQ,INE209A01019,10,1,10
Atlanta  Limited,25-Sep-06,ATLANTA,EQ,INE285H01022,2,1,2
Atlas Cycles (Haryana) Limited,23-Oct-96,ATLASCYCLE,BE,INE446A01025,5,1,5
Atul Limited,6-May-98,ATUL,EQ,INE100A01010,10,1,10
Atul Auto Limited,26-Jun-13,ATULAUTO,EQ,INE951D01028,5,1,5
AU Small Finance Bank Limited,10-Jul-17,AUBANK,EQ,INE949L01017,10,1,10
Aurionpro Solutions Limited,25-Oct-05,AURIONPRO,EQ,INE132H01018,10,1,10
Aurobindo Pharma Limited,19-Jul-00,AUROPHARMA,EQ,INE406A01037,1,1,1
Ausom Enterprise Limited,17-Apr-96,AUSOMENT,EQ,INE218C01016,10,1,10
Automotive Axles Limited,29-May-03,AUTOAXLES,EQ,INE449A01011,10,1,10
Autoline Industries Limited,31-Jan-07,AUTOIND,EQ,INE718H01014,10,1,10
Autolite (India) Limited,31-May-95,AUTOLITIND,EQ,INE448A01013,10,1,10
Avadh Sugar & Energy Limited,28-Jul-17,AVADHSUGAR,EQ,INE349W01017,10,1,10
Avanti Feeds Limited,15-Apr-15,AVANTIFEED,EQ,INE871C01038,1,1,1
AVT Natural Products Limited,10-Jan-07,AVTNPL,EQ,INE488D01021,1,1,1
Axis Bank Limited,16-Nov-98,AXISBANK,EQ,INE238A01034,2,1,2
AXISCADES Engineering Technologies Limited,21-Dec-00,AXISCADES,EQ,INE555B01013,5,1,5
AYM Syntex Limited,14-Aug-15,AYMSYNTEX,EQ,INE193B01039,10,1,10
Bafna Pharmaceuticals Limited,12-Nov-12,BAFNAPHARM,EQ,INE878I01014,10,1,10
B.A.G Films and Media Limited,17-Oct-03,BAGFILMS,BE,INE116D01028,2,1,2
Bajaj Auto Limited,26-May-08,BAJAJ-AUTO,EQ,INE917I01010,10,1,10
Bajaj Corp Limited,18-Aug-10,BAJAJCORP,EQ,INE933K01021,1,1,1
Bajaj Electricals Limited,2-Nov-07,BAJAJELEC,EQ,INE193E01025,2,1,2
Bajaj Finserv Limited,26-May-08,BAJAJFINSV,EQ,INE918I01018,5,1,5
Bajaj Hindusthan Sugar Limited,10-May-95,BAJAJHIND,EQ,INE306A01021,1,1,1
Bajaj Holdings & Investment Limited,15-Mar-95,BAJAJHLDNG,EQ,INE118A01012,10,1,10
Bajaj Finance Limited,1-Apr-03,BAJFINANCE,EQ,INE296A01024,2,1,2
Balaji Telefilms Limited,22-Nov-00,BALAJITELE,EQ,INE794B01026,2,1,2
Balaji Amines Limited,5-Apr-07,BALAMINES,EQ,INE050E01027,2,1,2
Balkrishna Paper Mills Limited,28-Jul-15,BALKRISHNA,EQ,INE875R01011,10,1,10
Balkrishna Industries Limited,27-Jan-06,BALKRISIND,EQ,INE787D01026,2,1,2
Ballarpur Industries Limited,31-Mar-08,BALLARPUR,EQ,INE294A01037,2,1,2
Balmer Lawrie & Company Limited,6-Jul-95,BALMLAWRIE,EQ,INE164A01016,10,1,10
Bal Pharma Limited,8-May-06,BALPHARMA,EQ,INE083D01012,10,1,10
Balrampur Chini Mills Limited,8-Feb-95,BALRAMCHIN,EQ,INE119A01028,1,1,1
Banaras Beads Limited,7-Jul-95,BANARBEADS,EQ,INE655B01011,10,100,10
Bannari Amman Sugars Limited,28-May-03,BANARISUG,EQ,INE459A01010,10,1,10
Banco Products (I) Limited,22-Dec-06,BANCOINDIA,EQ,INE213C01025,2,1,2
Bandhan Bank Limited,27-Mar-18,BANDHANBNK,EQ,INE545U01014,10,1,10
Bang Overseas Limited,20-Feb-08,BANG,EQ,INE863I01016,10,1,10
Bank of Baroda,19-Feb-97,BANKBARODA,EQ,INE028A01039,2,1,2
Bank of India,30-Apr-97,BANKINDIA,EQ,INE084A01016,10,1,10
Banswara Syntex Limited,11-Apr-07,BANSWRAS,EQ,INE629D01012,10,1,10
Bartronics India Limited,12-Jan-06,BARTRONICS,EQ,INE855F01034,10,1,10
BASF India Limited,17-May-95,BASF,EQ,INE373A01013,10,1,10
Bannari Amman Spinning Mills Limited,14-Nov-05,BASML,EQ,INE186H01014,10,1,10
Bata India Limited,18-Jun-03,BATAINDIA,EQ,INE176A01028,5,1,5
Bayer Cropscience Limited,8-Jan-10,BAYERCROP,EQ,INE462A01022,10,1,10
Bharat Bijlee Limited,21-Nov-06,BBL,EQ,INE464A01028,10,1,10
Bombay Burmah Trading Corporation Limited,3-Apr-96,BBTC,EQ,INE050A01025,2,1,2
Bharat Dynamics Limited,23-Mar-18,BDL,EQ,INE171Z01018,10,1,10
Beardsell Limited,13-Jan-15,BEARDSELL,EQ,INE520H01022,2,1,2
Bedmutha Industries Limited,14-Oct-10,BEDMUTHA,EQ,INE844K01012,10,1,10
Bharat Electronics Limited,19-Jul-00,BEL,EQ,INE263A01024,1,1,1
BEML Limited,5-Nov-03,BEML,EQ,INE258A01016,10,1,10
Bhansali Engineering Polymers Limited,21-Mar-05,BEPL,EQ,INE922A01025,1,1,1
Berger Paints (I) Limited,24-Nov-99,BERGEPAINT,EQ,INE463A01038,1,1,1
BF Investment Limited,14-Jan-11,BFINVEST,EQ,INE878K01010,5,1,5
BF Utilities Limited,3-May-07,BFUTILITIE,EQ,INE243D01012,5,1,5
Bharatiya Global Infomedia Limited,28-Jul-11,BGLOBAL,BE,INE224M01013,10,1,10
BGR Energy Systems Limited,3-Jan-08,BGRENERGY,EQ,INE661I01014,10,1,10
Bhageria Industries Limited,2-Mar-16,BHAGERIA,EQ,INE354C01027,5,1,5
Bhagyanagar India Limited,17-May-17,BHAGYANGR,BE,INE458B01036,2,1,2
Bhagyanagar Properties Limited,20-Jul-17,BHAGYAPROP,EQ,INE363W01018,2,1,2
Bhandari Hosiery Exports Limited,30-Jan-17,BHANDARI,EQ,INE474E01029,1,1,1
Bharat Financial Inclusion Limited,16-Aug-10,BHARATFIN,EQ,INE180K01011,10,1,10
Bharat Forge Limited,4-Apr-03,BHARATFORG,EQ,INE465A01025,2,1,2
Bharat Gears Limited,3-Apr-96,BHARATGEAR,EQ,INE561C01019,10,1,10
Bharati Defence and Infrastructure Limited,30-Dec-04,BHARATIDIL,BZ,INE673G01013,10,1,10
Bharat Rasayan Limited,11-Oct-95,BHARATRAS,EQ,INE838B01013,10,1,10
Bharat Wire Ropes Limited,1-Apr-16,BHARATWIRE,EQ,INE316L01019,10,1,10
Bharti Airtel Limited,15-Feb-02,BHARTIARTL,EQ,INE397D01024,5,1,5
Bharat Heavy Electricals Limited,11-Nov-03,BHEL,EQ,INE257A01026,2,1,2
Bhushan Steel Limited,21-Nov-03,BHUSANSTL,EQ,INE824B01021,2,1,2
Bigbloc Construction Limited,2-Sep-16,BIGBLOC,EQ,INE412U01017,10,1,10
Bhartiya International Limited,12-Apr-00,BIL,EQ,INE828A01016,10,1,10
Bil Energy Systems Limited,15-Feb-11,BILENERGY,BE,INE607L01029,1,1,1
Bilpower  Limited,29-Jan-07,BILPOWER,BE,INE952D01018,10,1,10
Binani Industries Limited,27-Sep-06,BINANIIND,EQ,INE071A01013,10,1,10
Oswal Chemicals & Fertilizers Limited,28-Aug-96,BINDALAGRO,EQ,INE143A01010,10,1,10
Biocon Limited,7-Apr-04,BIOCON,EQ,INE376G01013,5,1,5
Biofil Chemicals & Pharmaceuticals Limited,12-Jun-96,BIOFILCHEM,BE,INE829A01014,10,1,10
Birla Cable Limited,6-Dec-95,BIRLACABLE,EQ,INE800A01015,10,1,10
Birla Corporation Limited,12-Apr-95,BIRLACORPN,EQ,INE340A01012,10,1,10
Aditya Birla Money Limited,7-Feb-08,BIRLAMONEY,EQ,INE865C01022,1,1,1
Bkm Industries Limited,30-Mar-15,BKMINDST,EQ,INE831Q01016,1,1,1
BLB Limited,31-May-00,BLBLIMITED,EQ,INE791A01024,1,1,1
Bliss GVS Pharma Limited,26-Jul-10,BLISSGVS,EQ,INE416D01022,1,1,1
B. L. Kashyap and Sons Limited,17-Mar-06,BLKASHYAP,EQ,INE350H01032,1,1,1
BLS International Services Limited,14-Jun-16,BLS,EQ,INE153T01027,1,1,1
Blue Blends (I) Limited,8-Feb-95,BLUEBLENDS,EQ,INE113O01014,10,1,10
Blue Chip India Limited,12-Mar-97,BLUECHIP,BE,INE657B01025,2,1,2
Blue Coast Hotels Limited,16-Feb-00,BLUECOAST,EQ,INE472B01011,10,1,10
Blue Dart Express Limited,12-Dec-02,BLUEDART,EQ,INE233B01017,10,1,10
Blue Star Limited,15-Jun-00,BLUESTARCO,EQ,INE472A01039,2,1,2
Bodal Chemicals Limited,22-Aug-11,BODALCHEM,EQ,INE338D01028,2,1,2
Bombay Dyeing & Mfg Company Limited,26-Apr-95,BOMDYEING,BE,INE032A01023,2,1,2
Borosil Glass Works Limited,25-May-18,BOROSIL,EQ,INE666D01022,1,1,1
Bosch Limited,12-May-03,BOSCHLTD,EQ,INE323A01026,10,1,10
Bharat Petroleum Corporation Limited,13-Sep-95,BPCL,EQ,INE029A01011,10,1,10
BPL Limited,14-Jun-95,BPL,EQ,INE110A01019,10,1,10
Bombay Rayon Fashions Limited,5-Dec-05,BRFL,BE,INE589G01011,10,1,10
Brigade Enterprises Limited,31-Dec-07,BRIGADE,EQ,INE791I01019,10,1,10
Britannia Industries Limited,5-Nov-98,BRITANNIA,EQ,INE216A01022,2,1,2
Bharat Road Network Limited,18-Sep-17,BRNL,EQ,INE727S01012,10,1,10
Brooks Laboratories Limited,5-Sep-11,BROOKS,EQ,INE650L01011,10,1,10
BSE Limited,3-Feb-17,BSE,EQ,INE118H01025,2,1,2
BSEL Infrastructure Realty Limited,7-Feb-01,BSELINFRA,EQ,INE395A01016,10,1,10
BSL Limited,27-Jul-95,BSL,EQ,INE594B01012,10,1,10
Burnpur Cement Limited,3-Jan-08,BURNPUR,BE,INE817H01014,10,1,10
Butterfly Gandhimathi Appliances Limited,28-Apr-14,BUTTERFLY,EQ,INE295F01017,10,1,10
Barak Valley Cements Limited,23-Nov-07,BVCL,BE,INE139I01011,10,1,10
The Byke Hospitality Ltd,15-Apr-15,BYKE,EQ,INE319B01014,10,1,10
Cadila Healthcare Limited,18-Apr-00,CADILAHC,EQ,INE010B01027,1,1,1
California Software Company Limited,28-Jun-00,CALSOFT,BE,INE526B01014,10,1,10
Camlin Fine Sciences Limited,20-Jan-15,CAMLINFINE,EQ,INE052I01032,1,1,1
Canara Bank,23-Dec-02,CANBK,EQ,INE476A01014,10,1,10
C & C Constructions Limited,26-Feb-07,CANDC,EQ,INE874H01015,10,1,10
Can Fin Homes Limited,10-May-95,CANFINHOME,EQ,INE477A01020,2,1,2
Cantabil Retail India Limited,12-Oct-10,CANTABIL,EQ,INE068L01016,10,1,10
Capacit'e Infraprojects Limited,25-Sep-17,CAPACITE,EQ,INE264T01014,10,1,10
Capital First Limited,1-Feb-08,CAPF,EQ,INE688I01017,10,1,10
Caplin Point Laboratories Limited,23-Jun-14,CAPLIPOINT,EQ,INE475E01026,2,1,2
Capital Trust Limited,16-Jan-17,CAPTRUST,EQ,INE707C01018,10,1,10
Carborundum Universal Limited,3-Apr-96,CARBORUNIV,EQ,INE120A01034,1,1,1
Career Point Limited,6-Oct-10,CAREERP,EQ,INE521J01018,10,1,10
CARE Ratings Limited,26-Dec-12,CARERATING,EQ,INE752H01013,10,1,10
Castex Technologies Limited,27-Jun-05,CASTEXTECH,EQ,INE068D01021,2,1,2
Castrol India Limited,14-Mar-14,CASTROLIND,EQ,INE172A01027,5,1,5
Consolidated Construction Consortium Limited,15-Oct-07,CCCL,EQ,INE429I01024,2,1,2
Country Club Hospitality & Holidays Limited,3-Feb-15,CCHHL,EQ,INE652F01027,2,1,2
CCL Products (India) Limited,7-Jun-04,CCL,EQ,INE421D01022,2,1,2
Central Depository Services (India) Limited,30-Jun-17,CDSL,EQ,INE736A01011,10,1,10
CEAT Limited,1-Feb-08,CEATLTD,EQ,INE482A01020,10,1,10
Commercial Engineers & Body Builders Co Limited,18-Oct-10,CEBBCO,EQ,INE209L01016,10,1,10
Celebrity Fashions Limited,12-Jan-06,CELEBRITY,EQ,INE185H01016,10,1,10
Celestial Biolabs Limited,17-Jul-07,CELESTIAL,EQ,INE221I01017,10,1,10
Century Enka Limited,10-May-95,CENTENKA,EQ,INE485A01015,10,1,10
Century Extrusions Limited,20-Jul-04,CENTEXT,EQ,INE281A01026,1,1,1
Central Bank of India,21-Aug-07,CENTRALBK,EQ,INE483A01010,10,1,10
Centrum Capital Limited,4-Apr-18,CENTRUM,EQ,INE660C01027,1,1,1
Centum Electronics Limited,5-Oct-07,CENTUM,EQ,INE320B01020,10,1,10
Century Plyboards (India) Limited,23-Mar-06,CENTURYPLY,EQ,INE348B01021,1,1,1
Century Textiles & Industries Limited,27-Jun-03,CENTURYTEX,EQ,INE055A01016,10,1,10
Cera Sanitaryware Limited,2-Nov-07,CERA,EQ,INE739E01017,5,1,5
Cerebra Integrated Technologies Limited,26-Jun-13,CEREBRAINT,EQ,INE345B01019,10,1,10
CESC Limited,8-Feb-95,CESC,EQ,INE486A01013,10,1,10
Capri Global Capital Limited,29-Oct-10,CGCL,EQ,INE180C01026,2,1,2
CG Power and Industrial Solutions Limited,1-Mar-95,CGPOWER,EQ,INE067A01029,2,1,2
Chambal Fertilizers & Chemicals Limited,14-Jun-95,CHAMBLFERT,EQ,INE085A01013,10,1,10
Chemfab Alkalis Limited,25-Apr-18,CHEMFAB,EQ,INE783X01023,10,1,10
Chennai Petroleum Corporation Limited,7-Jun-00,CHENNPETRO,EQ,INE178A01016,10,1,10
Cholamandalam Investment and Finance Company Limited,15-May-96,CHOLAFIN,EQ,INE121A01016,10,1,10
Chromatic India Limited,29-May-12,CHROMATIC,BE,INE662C01015,10,1,10
Cigniti Technologies Limited,13-Oct-14,CIGNITITEC,EQ,INE675C01017,10,1,10
Cimmco Limited,8-Sep-11,CIMMCO,EQ,INE184C01028,10,1,10
Cineline India Limited,13-Jun-12,CINELINE,EQ,INE704H01022,5,1,5
Cinevista Limited,2-May-00,CINEVISTA,BE,INE039B01026,2,1,2
Cipla Limited,8-Feb-95,CIPLA,EQ,INE059A01026,2,1,2
CL Educate Limited,31-Mar-17,CLEDUCATE,EQ,INE201M01011,10,1,10
Clariant Chemicals (India) Limited,14-Jun-95,CLNINDIA,EQ,INE492A01029,10,1,10
CMI Limited,29-Nov-16,CMICABLES,EQ,INE981B01011,10,1,10
CIL Nova Petrochemicals Limited,1-Jan-14,CNOVAPETRO,BE,INE672K01025,10,1,10
Coal India Limited,4-Nov-10,COALINDIA,EQ,INE522F01014,10,1,10
Cochin Shipyard Limited,11-Aug-17,COCHINSHIP,EQ,INE704P01017,10,1,10
Coffee Day Enterprises Limited,2-Nov-15,COFFEEDAY,EQ,INE335K01011,10,1,10
Colgate Palmolive (India) Limited,17-Dec-07,COLPAL,EQ,INE259A01022,1,1,1
Compuage Infocom Limited,7-Jul-16,COMPINFO,EQ,INE070C01037,2,1,2
Compucom Software Limited,2-Mar-12,COMPUSOFT,EQ,INE453B01029,2,1,2
Container Corporation of India Limited,7-May-97,CONCOR,EQ,INE111A01025,5,1,5
Consolidated Finvest & Holdings Limited,29-Mar-05,CONSOFINVT,EQ,INE025A01027,10,1,10
Control Print Limited,24-Jun-16,CONTROLPR,EQ,INE663B01015,10,1,10
Coral India Finance & Housing Limited,25-Mar-96,CORALFINAC,EQ,INE558D01021,2,100,2
Cords Cable Industries Limited,13-Feb-08,CORDSCABLE,EQ,INE792I01017,10,1,10
Coromandel International Limited,31-May-95,COROMANDEL,EQ,INE169A01031,1,1,1
Corporation Bank,1-Dec-97,CORPBANK,EQ,INE112A01023,2,1,2
Cosmo Films Limited,25-May-95,COSMOFILMS,EQ,INE757A01017,10,1,10
Country Condo's Limited,22-Jan-09,COUNCODOS,EQ,INE695B01025,1,1,1
Cox & Kings Limited,11-Dec-09,COX&KINGS,EQ,INE008I01026,5,1,5
Creative Eye Limited,20-Dec-00,CREATIVEYE,EQ,INE230B01021,5,1,5
CREDITACCESS GRAMEEN LIMITED,23-Aug-18,CREDITACC,EQ,INE741K01010,10,1,10
Crest Ventures Limited,27-Dec-06,CREST,EQ,INE559D01011,10,1,10
CRISIL Limited,28-Jun-95,CRISIL,EQ,INE007A01025,1,1,1
Crompton Greaves Consumer Electricals Limited,13-May-16,CROMPTON,EQ,INE299U01018,2,1,2
Cambridge Technology Enterprises Limited,7-Feb-07,CTE,EQ,INE627H01017,10,1,10
City Union Bank Limited,25-Aug-98,CUB,EQ,INE491A01021,1,1,1
Cubex Tubings Limited,24-Apr-96,CUBEXTUB,EQ,INE144D01012,10,1,10
Cummins India Limited,29-Mar-95,CUMMINSIND,EQ,INE298A01020,2,1,2
Cupid Limited,16-Sep-16,CUPID,EQ,INE509F01011,10,1,10
Cura Technologies Limited,30-May-00,CURATECH,BE,INE117B01012,10,1,10
Cyber Media (India) Limited,10-Jun-05,CYBERMEDIA,EQ,INE278G01037,10,1,10
Cybertech Systems And Software Limited,27-Jan-99,CYBERTECH,EQ,INE214A01019,10,1,10
Cyient Limited,30-Sep-98,CYIENT,EQ,INE136B01020,5,1,5
LT Foods Limited,18-Dec-06,DAAWAT,EQ,INE818H01020,1,1,1
Dabur India Limited,28-Apr-99,DABUR,EQ,INE016A01026,1,1,1
Dalmia Bharat Limited,27-Jan-11,DALMIABHA,EQ,INE439L01019,2,1,2
Dalmia Bharat Sugar and Industries Limited,17-Jan-96,DALMIASUG,EQ,INE495A01022,2,1,2
Damodar Industries Limited,4-Jul-16,DAMODARIND,EQ,INE497D01014,10,1,10
Datamatics Global Services Limited,7-May-04,DATAMATICS,EQ,INE365B01017,5,1,5
D.B.Corp Limited,6-Jan-10,DBCORP,EQ,INE950I01011,10,1,10
Dilip Buildcon Limited,11-Aug-16,DBL,EQ,INE917M01012,10,1,10
D B Realty Limited,24-Feb-10,DBREALTY,EQ,INE879I01012,10,1,10
DB (International) Stock Brokers Limited,29-Feb-12,DBSTOCKBRO,EQ,INE921B01025,2,1,2
Dishman Carbogen Amcis Limited,21-Sep-17,DCAL,EQ,INE385W01011,2,1,2
DCB Bank Limited,27-Oct-06,DCBBANK,EQ,INE503A01015,10,1,10
DCM  Limited,29-Mar-95,DCM,EQ,INE498A01018,10,1,10
DCM Financial Services Limited,21-May-97,DCMFINSERV,EQ,INE891B01012,10,1,10
DCM Shriram Limited,12-Apr-95,DCMSHRIRAM,EQ,INE499A01024,2,1,2
DCW Limited,25-May-95,DCW,EQ,INE500A01029,2,1,2
Deccan Cements Limited,2-Aug-07,DECCANCE,EQ,INE583C01021,5,1,5
Deepak Fertilizers and Petrochemicals Corporation Limited,17-Jan-03,DEEPAKFERT,EQ,INE501A01019,10,1,10
Deepak Nitrite Limited,29-Sep-10,DEEPAKNTR,EQ,INE288B01029,2,1,2
Deep Industries Limited,9-Mar-10,DEEPIND,EQ,INE677H01012,10,1,10
Delta Corp Limited,2-Nov-07,DELTACORP,EQ,INE124G01033,1,1,1
Delta Magnets Limited,18-Oct-95,DELTAMAGNT,BE,INE393A01011,10,1,10
Den Networks Limited,24-Nov-09,DEN,EQ,INE947J01015,10,1,10
Dena Bank,15-Jan-97,DENABANK,EQ,INE077A01010,10,1,10
De Nora India Limited,7-Aug-97,DENORA,EQ,INE244A01016,10,1,10
DFM Foods Limited,29-Dec-16,DFMFOODS,EQ,INE456C01012,10,1,10
Dhampur Sugar Mills Limited,29-Mar-95,DHAMPURSUG,EQ,INE041A01016,10,1,10
Dhanlaxmi Bank Limited,1-Apr-04,DHANBANK,EQ,INE680A01011,10,1,10
Dhanuka Agritech Limited,29-Jun-11,DHANUKA,EQ,INE435G01025,2,1,2
Dharani Sugars & Chemicals Limited,22-May-96,DHARSUGAR,BE,INE988C01014,10,1,10
Dewan Housing Finance Corporation Limited,1-Oct-02,DHFL,EQ,INE202B01012,10,1,10
Dhunseri Investments Limited,18-Mar-11,DHUNINV,EQ,INE320L01011,10,1,10
Prataap Snacks Limited,5-Oct-17,DIAMONDYD,EQ,INE393P01035,5,1,5
Diamond Power Infra Ltd,29-Sep-10,DIAPOWER,BE,INE989C01012,10,1,10
DIC India Limited,30-Aug-95,DICIND,EQ,INE303A01010,10,1,10
Digjam Limited,13-Jul-16,DIGJAMLTD,EQ,INE731U01010,10,1,10
Dish TV India Limited,18-Apr-07,DISHTV,EQ,INE836F01026,1,1,1
Divi's Laboratories Limited,12-Mar-03,DIVISLAB,EQ,INE361B01024,2,1,2
Dixon Technologies (India) Limited,18-Sep-17,DIXON,EQ,INE935N01012,10,1,10
DLF Limited,5-Jul-07,DLF,EQ,INE271C01023,2,1,2
D-Link (India) Limited,18-Dec-09,DLINKINDIA,EQ,INE250K01012,2,1,2
Avenue Supermarts Limited,21-Mar-17,DMART,EQ,INE192R01011,10,1,10
Diligent Media Corporation Limited,11-Dec-17,DNAMEDIA,EQ,INE016M01021,1,1,1
Dollar Industries Limited,21-Apr-17,DOLLAR,EQ,INE325C01035,2,1,2
Dolphin Offshore Enterprises (India) Limited,6-Oct-06,DOLPHINOFF,EQ,INE920A01011,10,1,10
Donear Industries Limited,20-Dec-06,DONEAR,EQ,INE668D01028,2,1,2
Dhunseri Petrochem Limited,11-Jan-08,DPL,EQ,INE477B01010,10,1,10
